,index,transaction,title,abstract,authors,track,invited
0,0,EDTM25-000004,Energy-Efficient Voltage-Induced Self-Regulated Precessional MRAM with Low Write Error Rate <10^−9,"Voltage-controlled precessional MRAM offers a good power-performance-area balance, positioning it as a promising intermediate memory between SRAM, DRAM, and flash. However, its practical implementation is hindered by the need for highly precise timing control of the incoming voltage pulse, making it susceptible to process, temperature, and other variations, compromising its robustness for memory applications. This study proposes voltage-induced self-regulated precessional (VISP) memory to address this issue. By using angular dependence of MTJ’s resistance, energy asymmetry is created so that the precession is self-terminated without external control. The robustness of switching is evaluated using Fokker-Planck simulations, and it was found that write-error rate < 10^-9 can be achieved with a pulse width of ~ 26 nanoseconds, making VISP well-suited for storage-class memory.","Stanislav Sin,Saeroonter Oh",07 Modelling and Simulation,0
1,1,EDTM25-000005,A 2-D Noise Model for CMOS Single Photon Avalanche Diodes,"Recent advances have enabled single-photon avalanche diodes (SPADs) to be fully integrated with CMOS signal conditioning and processing circuits, paving the way for compact and efficient imaging applications. However, a significant challenge remains: the absence of accurate models for optimizing the SPAD design prior to fabrication. In this paper, we present a comprehensive noise model and compare simulation results with experimental measurements. Our findings highlight the effectiveness and the necessity of robust SPAD modeling for design optimization as a critical step before fabrication.","Wei Jiang,Jamal Deen,Xuanyu Qian",07 Modelling and Simulation,0
2,2,EDTM25-000008,InP/GaAsSb DHBT Emitter Etching Process Optimization with a Simultaneous fT/fMAX = 451/914 GHz and 86% Device Yield,"The present study contrasts three emitter etching process variants in InP/GaAsSb DHBT fabrication. Specifically, dry etching of the emitter mesa was studied for different inductively coupled plasma (ICP) powers with/without a prior Ar-sputtering electrode edge smoothing procedure facilitated in an electron-beam evaporator. Emitter etching significantly affects device yield and the scaling behavior of RF performance with emitter size. Excellent performance metrics are achieved with maximum cut-off frequencies fT/fMAX = 451/914 GHz and an 86% yield for a 300 W ICP power at 30 mTorr and 170°C (without Ar-pre-sputtering). The work highlights the importance of emitter etching on the scaling of performance metrics in the manufacturing of Type-Ⅱ DHBTs.","Mojtaba Ebrahimi Maroufi,Sara Hamzeloui,Filippo Ciabattini,Akshay Mahadev Arabhavi,Olivier Ostinelli,Colombo Bolognesi",06 Wide-Bandgap Power and RF Devices,0
3,3,EDTM25-000009,A Novel Mixed Collector Structure IGBT Operating at High Temperature,"This work proposes a novel insulated gate bipolar transistor (IGBT) with a mixed N-region collector (MNC-IGBT). The addition of a thin N-type doped region within the P-type collector serves to effectively reduce the amplification effect of the internal parasitic PNP transistor on the leakage current in the off-state. As a result，MNC-IGBT markedly reduces the leakage current and increases the operational temperature of the device. The simulation results demonstrate that the leakage current of the MNC-IGBT is reduced by 9% and 8%, respectively, at 175°C and 200°C in comparison to conventional CSTBT, while maintaining a higher breakdown voltage even at 215°C. Furthermore, the on-state voltage drop (Von) and switching losses (Eon, Eoff)of MNC-IGBT are close to those of the CSTBT. The excellent performance of MNC-IGBT provides a reliable solution for increasing the operating temperature of IGBTs.","Changhao Wang,hang Xu,Jianbin Guo,xinru Chen,YaFen Yang,David wei Zhang",07 Modelling and Simulation,0
4,4,EDTM25-000010,ALD-Derived High-Performance Transistors with Superior Crystal Structure through Sn Doping in IGO Thin-Films,"This study reports fabrication of high-performance IGTO field-effect transistors via atomic layer deposition, enabling precise cation ratio control. The IGTO thin-film with 7.2 at% Sn exhibited preferential (222) crystal growth. The resulting FET achieved exceptional performance, including a field-effect mobility of 88.3 ± 1.7 cm2/Vs, low subthreshold swing of 61.2 ± 1.1 mV/dec, and VTH of 0.15 ± 0.1 V. These results, attributed to preferential growth, were validated through detailed physical and chemical analyses.","Gwang-Bok Kim,Jae Kyeong Jeong",03 Advanced Semiconductor (Logic) Devices,0
5,5,EDTM25-000011,Controllable Oxygen Vacancies in NbOx Mott Memristor for Tunable Spiking Neurons,"Artificial spiking neurons based on NbOx memristors are widely used in neuromorphic systems, but their performance generally exhibits limited reconfigurability after the forming process. Herein, we present a method for post-forming the device through annealing to facilitate performance modulation. This post-annealing process facilitates the diffusion of oxygen vacancies into the NbOx layer, subsequently altering its performance characteristics. The proposed method enhances the tunability of artificial neurons and paves the way for adaptable neuromorphic devices. ","Guolei Liu,Dingwei Li,Fanfan Li,Bowen Zhu",03 Advanced Semiconductor (Logic) Devices,0
6,6,EDTM25-000012,Study of the Characteristics of GaN Substrate-Based MicroLEDs with Different Epitaxial Structures,"This study provides an in-depth analysis of the performance of GaN substrate-based MicroLEDs with different epitaxial structures using Silvaco TCAD. The focus is on exploring how variations in Al content in the electron blocking layer, In content in the quantum well layers and doping concentration in p-GaN affect device performance. The results show that changes in these epitaxial structures impact key metrics such as threshold voltage, wall plug efficiency, internal quantum efficiency, and the ideality factor. These findings offer valuable insights for designing high-performance GaN substrate-based MicroLEDs.","Shan Huang,Yibo Liu,Feng Feng,Jingyang Zhang,Zichun Li,Man Hoi Wong,Zhaojun Liu",07 Modelling and Simulation,0
7,7,EDTM25-000014,Impact of Oxide Quality in Self-Aligned Block Region on Hot Carrier Degradation in n-Type CFP-LDMOS with 0.18 µm Bipolar-CMOS-DMOS Technology,"In this work, the effect of oxide quality in the self-aligned block (SAB) region of n-LDMOS with contact field plate on hot carrier degradation (HCD) is investigated. Experiments and simulations confirm that the degradation of ID and Rsp in on-state HCD is less than that in off-state HCD due to the capture competition mechanism between electrons and holes. This trapping mechanism is inhibited when the combination process is used to form high-quality oxides in the SAB region, improving HCD.","Qiao Teng,Yixian Song,Junzhe Kang,Kai Xu,Dawei Gao",08 Reliability and testing,0
8,8,EDTM25-000016,Investigation of High-Sensitivity Pressure Sensor Integrated with InSnZnO Thin-Film Transistors,"With the demand for flexible pressure sensors in wearable devices and medical applications, piezoelectric sensors stand out for their self-powering and fast response. This paper presents a PVDF/ZnO@MXene (PZM) sensor with high sensitivity (2.32 V N⁻¹), detection of different items, and fast response (46 ms). The PZM sensor integrated with ITZO TFT for signal amplification demonstrates stable performance, highlighting its potential for use in personalized identification, human-computer interaction, and soft robotics.","Mei YANG,Ming Li,Wei Huang,Rongsheng Chen","10 Sensor, MEMS, Bio-Electronics",0
9,9,EDTM25-000018,Investigation of Reliability and Optimization of Reprogram Process in 3D NAND Flash Memory Based on Physical Model,"In this study, we simulate a 3D Bandgap Engineered (BE-TOX) NAND Flash device using the Monte Carlo method. The simulation considers the Incremental Step Pulse Programming (ISPP) and Reprogram Scheme (Re-PGM), which are commonly used in the current industry. Through this research, we first investigate the formation process of the threshold voltage (Vth) distribution and analyze it from a physical perspective. Furthermore, we identify the trade-off relationship between reliability and performance. Finally, we propose strategies to optimize the program operation.","Jooyoung Lee,Jinil Yoo,Hyeongcheol Shin",07 Modelling and Simulation,0
10,10,EDTM25-000019,Circuit Polymorphism Enabled by RFET Devices Processed on Industrial FDSOI,"We present three-independent-gate Reconfigurable Field Effect Transistors, processed on a 300 mm industrial platform. The devices, able to function as both n-type and p-type transistors, were built on a GlobalFoundries fully-depleted silicon-on-insulator technology, and show highest symmetry between the on-state currents of both polarity modes, as well as a clearly defined multi-VT behavior. Based on them, we show electrical transient measurements demonstrating the functionality of a highly reconfigurable logic gate, the RGATE, able to yield up to eight different logic functions using only four transistors. Furthermore, we developed a Verilog-A table model of the presented transistors, that we used to build a 2-bit adder/2-bit half subtract reconfigurable circuit demonstrating the functionality of a highly tiled, security-oriented architecture employing only RGATEs.","Niladri Bhattacharjee,Giulio Galderisi,Yuxuan He,Violetta Sessi,Maximilian Drescher,Viktor Havel,Michael Zier,Maik Simon,Kerstin Ruttloff,Annekathrin Zeun,Konstantin Li,Anna-Sophie Seidel,Carsten Metze,Michael Grothe,Soeren Jansen,Mark Wijvliet,Shubham Rai,Akash Kumar,Stefan Slesazeck,Jan Hoentschel,Thomas Mikolajick,Jens Trommer",03 Advanced Semiconductor (Logic) Devices,0
11,11,EDTM25-000020,Optimizing SiN Composition for Enhanced Charge-Trapping in Next-Generation 3D NAND Flash Memories,"This study investigates the optimization of charge-trap silicon nitride (CT-SiN) for 3D NAND flash memories. We employed density functional theory (DFT) calculations and experimental analysis to identify the material properties influencing electron-trap levels, trap density, and program/erase (P/E) endurance. Our results demonstrate that a near-stoichiometric N/Si ratio of 1.13 offers the deeper electron traps and higher trap density, leading to improved P/E endurance. This study paves the way for significantly improved performance of CT-SiN in future 3D NAND devices.","Tomoya Nagahashi,Hajime Karasawa,Ryota Horiike,Atsushi Oshiyama,Kenji Shiraishi",04 Memory Technologies,0
12,12,EDTM25-000022,Effect of Top Al2O3 Interlayer Thickness on the Memory Window of FeFETs with TiN/Al2O3/Hf0.5Zr0.5O2/SiOx/Si (MIFIS) Gate Structure,"In this work, we investigate the effect of top Al2O3 interlayer thickness on the memory window (MW) of Si channel ferroelectric field-effect transistors (Si-FeFETs) with TiN/Al2O3/Hf0.5Zr0.5O2/SiOx/Si (MIFIS) gate structure. We find that the MW first increases and then remains almost constant with the increasing thickness of the top Al2O3 interlayer. This phenomenon is attributed to the smaller electric field of the ferroelectric Hf0.5Zr0.5O2 in the MIFIS structure with a thicker top Al2O3 interlayer after a program operation, which makes the charges injected from the metal gate trapped at the top Al2O3/Hf0.5Zr0.5O2 interface cannot remain.","Tao Hu,Runhao Han,Xinpei Jia,Jia Yang,Zeqi Chen,Xiaoqing Sun,Junshuai Chai,Hao Xu,Xiaolei Wang,Wenwu Wang,Tianchun Ye","02 Process, Tools, Yield, and Manufacturing",0
