content,day,time,noon,venue,Id_program,sections,transaction,title,abstract,authors,track,invited,invited_keynote,authors_affiliation
Impact of Charge Trapping at Defects on the Robustness of Electronic Circuits,10 March 2025 (Monday),10:30am,morning," Conference Hall 4&5, 2/F, 8W&10W",M-3-1-1,10:30am to 12:30pm,EDTM25-000676,Impact of Charge Trapping at Defects on the Robustness of Electronic Circuits,"Charge trapping at oxide defects is a significant reliability issue in MOS transistors and becomes even more prominent in scaled technology nodes. As devices shrink, the impact of charge capture and emission events of oxide and interface defects on performance becomes more severe. Our work demonstrates how charge trapping affects variability in scaled Silicon and 2D technologies, highlighting the necessity of low trap density to achieve high yield and ensure robust electronic circuit designs.","Michael Waltl,Bernhard Stampfer,Roberto Orio",03 Advanced Semiconductor (Logic) Devices,1,[Invited],"Michael Waltl, TU Wien, Germany "
Multimode Transistors based on Ion-dynamic Capacitance,10 March 2025 (Monday),10:50am,morning," Conference Hall 4&5, 2/F, 8W&10W",M-3-1-2,10:30am to 12:30pm,EDTM25-000256,Multimode Transistors based on Ion-dynamic Capacitance,"Electrolyte-gated transistors can function as switching elements, artificial synapses and memristive systems. However, insight into such devices, including the ion dynamics and transient capacitances, remains limited. Here we report a concise model for the transient ion-dynamic capacitance in electrolyte-gated transistors. The model predicts that plasticity, high apparent mobility, sharp subthreshold swing, and memristive conductance can be achieved by programming interfacial ion concentrations or scan speeds. We demonstrate such multimode transistors and different capabilities experimentally.","xiaoci liang,Yiyang Luo,Yanli Pei,Mengye Wang,Chuan Liu",03 Advanced Semiconductor (Logic) Devices,1,[Invited],"Chuan Liu, Sun Yat-Sen University, China "
Understanding the Impact of Hydrogen on the Reliability of Oxide Semiconductor FETs,10 March 2025 (Monday),11:10am,morning," Conference Hall 4&5, 2/F, 8W&10W",M-3-1-3,10:30am to 12:30pm,EDTM25-000660,Understanding the Impact of Hydrogen on the Reliability of Oxide Semiconductor FETs,"In this review, we provide a comprehensive overview of the evolving understanding of reliability issues in oxide semiconductor field-effect transistors (OSFETs), with a focus on bias temperature instability (BTI) and the critical role of hydrogen (H)-related degradation. Through systematic analyses of high-performance Indium-Gallium-Zinc-oxide (IGZO) devices, we highlight four key findings: (1) the existence of two distinct hydrogen states, distinguishable under varying stress and recovery conditions; (2) a pronounced channel length (LCH) dependence of threshold voltage shift (ΔVth) under negative BTI (NBTI); (3) thinner channel devices are more prone to electron trapping but demonstrate higher resistance to H effects; and (4) notable differences between AC and DC positive BTI (PBTI) behavior at elevated T conditions. These insights offer valuable guidance for optimizing device design and advancing future research in this field.",XIAO GONG,03 Advanced Semiconductor (Logic) Devices,1,[Invited],"Xiao Gong, National University of Singapore, Singapore "
Investigation of Passivation Layers for Self-aligned Top-Gate Amorphous InGaZnO Thin-Film Transistors with,10 March 2025 (Monday),11:30am,morning," Conference Hall 4&5, 2/F, 8W&10W",M-3-1-4,10:30am to 12:30pm,EDTM25-000074,Investigation of Passivation Layers for Self-aligned Top-Gate Amorphous InGaZnO Thin-Film Transistors with Metal-Reacted Low-Resistance Source/Drain,"The metal reaction approach has been successfully utilized to fabricate high-performance self-aligned top-gate (SATG) oxide TFTs with low-resistance source/drain (S/D) regions. However, the stability remains a concern, as the metal-reacted S/D regions are susceptible to degradation during thermal processing. This work systematically investigated the passivation effects of PECVD SiO2, Si3N4, and sputtered Al2O3. Results indicate that the 150 °C PECVD Si3N4 passivation layer (PL) offers SATG TFTs superior stability under thermal, environmental and bias stress conditions, along with excellent scalability and well-maintained low S/D resistance, compared to other PLs.","Yuhan Zhang,Jiye Li,Hao Pen,Huan Yang,Lei Lu,Shengdong Zhang",03 Advanced Semiconductor (Logic) Devices,0,,"Yuhan Zhang, Jiye Li, Hao Pen, Huan Yang, Lei Lu, Shengdong Zhang, Peking University, China "
Thermal Crosstalk Analysis in Advanced CMOS Circuits: Insights from 3nm Gate-All-Around Transistor,10 March 2025 (Monday),11:45am,morning," Conference Hall 4&5, 2/F, 8W&10W",M-3-1-5,10:30am to 12:30pm,EDTM25-000434,Thermal Crosstalk Analysis in Advanced CMOS Circuits: Insights from 3nm Gate-All-Around Transistor Technology,"The thermal crosstalk issue in various typical circuit layouts featuring 3nm Gate-all-around transistors (GAAFET) is systematically investigated in this work. In a standard inverter with 6 tracks, thermal crosstalk from the active NMOS induces a temperature rise in the adjacent PMOS, elevating it by 7.5% above the ambient temperature. Further increasing the number of devices to three and four results in temperature increases of 11.8% and 14.9%, respectively. Moreover, the dynamic thermal response time and transient heating behavior induced by thermal crosstalk are found to be strongly dependent on device density and layout configuration, indicating that high-precision thermal modeling and thermal-aware reliability assessment urgently need to account for thermal crosstalk effects in advanced CMOS technology.","Sihao Chen,Honglin Wu,Runsheng Wang,Ru Huang,Lining Zhang",03 Advanced Semiconductor (Logic) Devices,0,,"Sihao Chen,Honglin Wu,Runsheng Wang,Ru Huang,Lining Zhang, Peking University, China "
High Mobility and Improved Subthreshold Characteristics of Ultra-Thin Channel IGZTO TFTs Down to 3 nm,10 March 2025 (Monday),12:00pm,morning," Conference Hall 4&5, 2/F, 8W&10W",M-3-1-6,10:30am to 12:30pm,EDTM25-000175,High Mobility and Improved Subthreshold Characteristics of Ultra-Thin Channel IGZTO TFTs Down to 3 nm,"In this work, the electric characteristics of IGZTO thin-film transistors (TFTs) with ultra-thin channel thicknesses (TCH) down to 3 nm were systematically investigated. As TCH decreases, a positive shift in threshold voltage (Vth) is observed, with the 3 nm device showing a Vth around 0.9 V and a field-effect mobility of 30.3 cm2(V·s)-1. The 5 nm device, featuring an appropriate Vth of 0.36 V, achieves an optimal balance with high mobility, highlighting the potential of IGZTO TFTs in sub-10 nm process technology for low-power applications.","Kai Chen,Yi Jiang,Zhaolong He,Rui Zhang,Junkang Li,Yunlong Li",03 Advanced Semiconductor (Logic) Devices,0,,"Kai Chen,Yi Jiang,Zhaolong He,Rui Zhang,Junkang Li,Yunlong Li, ZheJiang University, China "
Optimizing ALD-deposited IGZO TFT Thermal Stability through Compositional Adjustments,10 March 2025 (Monday),12:15pm,morning," Conference Hall 4&5, 2/F, 8W&10W",M-3-1-7,10:30am to 12:30pm,EDTM25-000317,Optimizing ALD-deposited IGZO TFT Thermal Stability through Compositional Adjustments,"The integration of metal oxide TFTs is challenged by high BEOL temperatures. Our study evaluated ALD-deposited IGZO TFTs with different composition ratio. These TFTs exhibited mobilities ranging from 30.24 to 81.60 cm2V-1s-1. The optimized-composition In0.25Ga0.26Zn0.49O TFT without encapsulation, maintained performance after 450°C annealing process and exhibited enhanced thermal stability, reducing the threshold voltage shift from over 15 V to -1.5 V. This enhancement is attributed to the stabilization of the amorphous structure, optimization of the coordination number, and reduction of defect states.","Jianting Wu,Huajian Zheng,Min Guo,Yi Huang,xiaoci liang,Qian Wu,Chuan Liu",03 Advanced Semiconductor (Logic) Devices,0,,"Jianting Wu,Huajian Zheng,Min Guo,Yi Huang,xiaoci liang,Qian Wu,Chuan Liu, Sun Yat-sen University, China "
Content Addressable Memory Hierarchies for Computing in Memory,10 March 2025 (Monday),10:30am,morning," Grand Hall A, 1/F, 12W",M-4-1-1,10:30am to 12:30pm,EDTM25-000493,Content Addressable Memory Hierarchies for Computing in Memory,"Content Addressable Memories (CAMs) match input data to stored content, ideal for search-intensive tasks like network address lookup and similarity matching. This paper explores CAM hierarchies (similar to the standard RAM hierarchy), focusing on two implementation layers: non-volatile, analog Content Addressable Memory (aCAM) for static data patterns, and volatile, gain cell-based aCAM for dynamic tasks. Mitigating key non-idealities in memristor-based aCAMs increases storage from 2 to 4 bits per cell, enhancing performance, capacity, and energy efficiency for Compute in Memory (CIM) applications.","Paul Manea,Nathan Leroux,John Paul Strachan",04 Memory Technologies,1,[Keynote],"John Paul Strachan, Institute (PGI-14) Neuromorphic Compute Nodes, Forschungszentrum Juelich/RWTH Aachen University, Germany "
An Efficient Pipeline Programming Scheme Based on 40nm PCM Compute-in-Memory Chip for CNNs,10 March 2025 (Monday),10:50am,morning," Grand Hall A, 1/F, 12W",M-4-1-2,10:30am to 12:30pm,EDTM25-000655,An Efficient Pipeline Programming Scheme Based on 40nm PCM Compute-in-Memory Chip for CNNs,"Phase change memory (PCM) has shown significant potential for in-memory computing. However, the conventional write-verify programming scheme for multilevel cell demands numerous iterative programming cycles and is prone to conductance drift effects, which can lead to computing errors. This paper presents the adaptive pulse width programming and pipeline programming scheme for reducing programming cycles by 71.2% and mitigating the conductance drift. Finally, we demonstrate image classification tasks with 91.7% accuracy on the PCM compute-in-memory chip.","Xile Wang,Longhao Yan,Xi Li,Yaoyu Tao,Zhitang Song,Yuchao Yang",04 Memory Technologies,1,[Invited],"Yuchao Yang, Peking University, China "
HfO2-Based Ferroelectric Field-Effect Transistors for Next-Generation Storage and In-Memory Computing,10 March 2025 (Monday),11:10am,morning," Grand Hall A, 1/F, 12W",M-4-1-3,10:30am to 12:30pm,EDTM25-000667,HfO2-Based Ferroelectric Field-Effect Transistors for Next-Generation Storage and In-Memory Computing Applications,"HfO2-based Ferroelectric field-effect transistor (FeFET) is a promising technology for advanced memory and computing systems, offering CMOS compatibility, low-power consumption, and scalability. This paper highlights our recent findings in FeFET reliability, including endurance enhancement at cryogenic temperatures, polarization-induced temperature instability (PTI) and disturb issue in a NAND array. Possible solutions are proposed to mitigate these reliability issues. In addition, FeFET demonstrates significant potential in multi-level content addressable memory (CAM), hybrid-precision synapses for neuromorphic computing, and logic-in-memory (LiM).","Genquan Han,Chengji Jin,Jiajia Chen,Xiao Yu,Jiuren Zhou,Siying Zheng,Haoji Qian,Ran Cheng,Bing Chen,Yan Liu",04 Memory Technologies,1,[Invited],"Chengji Jin, Xidian University, China "
Hafnia-based XP-FeRAM: A Novel High-speed and Low-power Cross-point Ferroelectric Memory for Dataintensive,10 March 2025 (Monday),11:30am,morning," Grand Hall A, 1/F, 12W",M-4-1-4,10:30am to 12:30pm,EDTM25-000622,Hafnia-based XP-FeRAM: A Novel High-speed and Low-power Cross-point Ferroelectric Memory for Data-intensive Applications,"Device and circuit co-optimization of a novel hafnia-based cross-point FeRAM (XP-FeRAM) are comprehensively investigated for high-density, high-speed and low-power memory applications. Planar and 3D vertical-stacked XP-FeRAM designs are demonstrated with application-specific device optimization, and the outstanding comprehensive performance are achieved with high 2Pr, excellent disturbance immunity under low-voltage operation and fast switching at scaled size, as well as good device reliability. A modified V/2 operation scheme with in-situ write-back is further presented, leading to faster operation and lower power consumption than traditional 1T1C FeRAM. Combined with its excellent scalability, XP-FeRAM shows strong potential as a competitive candidate of future non-volatile memory technology for data-intensive demands.","Qianqian Huang,Shengjie Cao,Zhiyuan Fu,Ru Huang",04 Memory Technologies,1,[Invited],"Qianqian Huang, Peking University, China "
Conductive atomic force microscopy to assess the reliability of emerging memories,10 March 2025 (Monday),11:50am,morning," Grand Hall A, 1/F, 12W",M-4-1-5,10:30am to 12:30pm,EDTM25-000606,Conductive atomic force microscopy to assess the reliability of emerging memories,"Conductive atomic force microscopy (CAFM) is a technique that allows analysing several electronic phenomena taking place in materials and devices with nanoscale lateral resolution, and it is being widely used by different industries, research institutions and universities all around the world. In this article I analyse which properties of emerging memory technologies can be explored via CAFM, which are the recommendable protocols to be followed to guarantee the reliability of the data collected, and how to analyse the data to extract useful and valid conclusions.",MARIO LANZA,04 Memory Technologies,1,[Invited],"Mario Lanza, National University of Singapore, Singapore "
